observed_at,source,level,variant,outcome,hits_to_clear,time_to_clear_s,speed_p50,speed_p90,speed_max,damage_p50,damage_max,max_combo,glancing_hits,damaging_hits,rope_contacts,yanks,frame_ms_p95,errors
2026-09-13T09:33:38.989Z,human,L6,standard,SHATTER,3,3.77,133.19,221.15,394.76,28.21,60.94,2,1,3,741,0,6.2,0
2026-09-13T09:33:44.282Z,human,L7,standard,SHATTER,5,5.19,135.87,202.32,321.49,23.49,40.95,2,3,5,659,0,6.2,0
2026-09-13T09:33:50.674Z,human,L8,standard,SHATTER,1,1.41,25.74,171.94,302.38,112.79,112.79,1,0,1,56,0,6.2,0
2026-09-13T09:33:53.438Z,human,L9,standard,SHATTER,1,1.67,40.89,376.2,464.14,152.22,152.22,1,0,1,52,0,6.2,0
2026-09-13T09:33:56.468Z,human,L9,standard,SHATTER,2,2.16,126.41,468.76,678.98,26.98,426.03,2,0,2,215,0,6.2,0
2026-09-13T09:34:00.267Z,human,L9,standard,SHATTER,2,1.82,57.16,341.73,458.49,0.25,301.15,2,0,2,106,0,6.1,0
2026-09-13T09:34:03.637Z,human,L9,standard,SHATTER,2,1.97,35.58,239.2,304.3,35,80.28,2,0,2,174,0,6.1,0
2026-09-13T09:34:23.438Z,human,L8,standard,SHATTER,3,2.77,124.58,222.53,279.81,37.75,43.43,3,0,3,109,0,6.2,0
2026-09-13T09:34:28.414Z,human,L8,standard,SHATTER,1,1.42,19.46,73.92,291.45,107.25,107.25,1,1,1,0,0,6.1,0
2026-09-13T09:34:31.987Z,human,L8,standard,SHATTER,3,2.4,128.9,213.17,260.14,27.45,81.15,3,0,3,189,0,6.1,0
2026-09-13T09:34:35.409Z,human,L8,standard,SHATTER,4,3.02,149.82,252.75,345.1,36.93,284.28,4,0,4,345,0,6.2,0
2026-09-13T09:34:42.780Z,human,L8,heavy,SHATTER,1,1.58,7.79,190.45,296.45,139.74,139.74,1,0,1,48,0,6.2,0
2026-09-13T09:34:45.577Z,human,L8,heavy,SHATTER,1,1.28,25.76,184.99,303.27,155.97,155.97,1,1,1,1,0,6.1,0
2026-09-13T09:34:47.955Z,human,L8,heavy,SHATTER,2,1.82,99.96,226.12,298.73,19.1,177.61,2,1,2,16,0,6.1,0
2026-09-13T09:34:50.870Z,human,L8,heavy,SHATTER,2,1.67,113.65,253.42,351.67,9.05,129.42,2,1,2,60,0,6.2,0
2026-09-13T09:34:54.094Z,human,L9,heavy,SHATTER,3,2.36,161.41,324.35,414.56,44.34,106.4,3,1,3,368,0,6.2,0
2026-09-13T09:34:57.975Z,human,L9,heavy,SHATTER,1,1.84,107.43,235.16,318.68,112.78,112.78,1,0,1,97,0,6.1,0
2026-09-13T09:35:00.869Z,human,L9,heavy,SHATTER,2,2.69,126.22,221.1,302.02,12.2,110.67,2,1,2,306,0,6.2,0
2026-09-13T09:35:04.842Z,human,L9,heavy,SHATTER,1,2,112.92,195.27,405.67,162.93,162.93,1,0,1,70,0,6.2,0
2026-09-13T09:35:07.882Z,human,L9,heavy,SHATTER,2,2.64,143.22,234.1,413.06,16.38,400.6,2,1,2,517,0,6.2,0
2026-09-13T09:35:13.193Z,human,L9,standard,SHATTER,2,1.79,98.68,225.51,256.04,23.67,80.54,2,1,2,214,0,6.1,0
2026-09-13T09:35:16.170Z,human,L9,standard,SHATTER,3,3.11,107.46,248.66,404.31,32.66,147.45,3,2,3,1416,0,6.1,0
2026-09-13T09:35:20.902Z,human,L9,standard,SHATTER,2,1.71,58.69,390.14,519.75,21.59,196.48,2,0,2,161,0,6.1,0
2026-09-13T09:35:23.831Z,human,L9,standard,SHATTER,1,1.38,92.83,420.21,657.77,279.78,279.78,1,0,1,24,0,6.2,0
2026-09-13T09:35:26.324Z,human,L9,standard,SHATTER,2,2.3,117.93,219.63,293.81,30.7,108.03,2,0,2,198,0,6.1,0
